idno,experiment_hash,epoch_seconds,fold,logits_threshold,wake_acc,sleep_acc,max_X,min_X,mean_X,median_X,std_X
S053,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,36,0.45619446,0.5811745106205748,0.9499721758486366,3.663543039221119,-1.4946516026020211,-1.3877692622396232e-15,0.03358155279793992,0.9999992174263542
S054,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,37,0.46452197,0.6516652367210046,0.9499975221765201,3.3306959970689345,-1.5024285724975968,5.91436237260181e-17,-0.02976282186306614,0.9999992583856462
S056,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,38,0.4491222,0.4550501815075806,0.9501818181818181,3.665272301522325,-1.592419248180006,-4.134066826240583e-16,0.052237930322328485,0.9999991612883261
S057,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,39,0.40029138,0.3746382330540746,0.949922480620155,3.864433947506451,-1.6388133960752032,-2.1787876586263885e-16,0.019829530592869272,0.9999991253571509
S061,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,40,0.41301614,0.38239499553172474,0.9500687757909216,3.985995900251888,-1.7707945912565528,-7.684994957885441e-16,0.030140877124000064,0.9999990698595509
S062,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,41,0.44825548,0.5085223459938263,0.9500904159132008,3.5192791597967905,-1.4205408449330583,-9.269720574610999e-16,0.008621956364239569,0.9999992371956504
S063,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,42,0.41627526,0.5697674418604651,0.9500310366232154,3.509969364596768,-1.4013635198953749,1.0941832969777413e-15,0.015633239038253286,0.9999992202940071
S064,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,43,0.41216955,0.35102428221150045,0.9502873704376873,3.85540524162745,-1.7876926989567812,-4.425005980424689e-16,0.0019403302288468994,0.9999991138838712
S066,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,44,0.55126786,0.6370804358539123,0.9497435897435897,3.3335320433538973,-1.531449610559473,-1.4889362634346165e-16,-0.04471705893989615,0.9999992658513946
S068,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,45,0.38410085,0.6206665175575934,0.9499317871759891,3.484018599216151,-1.2229690068022134,1.1654371317064408e-15,-0.06901532863136427,0.9999992589234661
S069,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,46,0.44375813,0.477655252466628,0.9499375520399667,3.5955595589263623,-1.676919305683914,6.500231904023811e-16,0.013411113234586089,0.9999991738540163
S070,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,47,0.43827027,0.480645966869225,0.9499690284461809,3.587263351864529,-1.548594536605382,-1.3039955909843009e-15,0.023764320972219144,0.9999992144265741
S071,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,48,0.46280444,0.3974290622593448,0.9500328731097962,3.5658880337839225,-1.669350355488606,2.668489720889196e-15,0.02238926025082854,0.999999214139751
S072,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,49,0.4840573,0.483799181057504,0.9500564971751413,3.1018030955575844,-1.6290993147382342,7.132105532750014e-16,0.005182515478459861,0.9999992490113055
S073,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,50,0.41830763,0.34750104997900044,0.9499751614505713,3.8411519368360505,-1.6836629306371143,-1.0301556766201128e-16,0.033655278744740474,0.9999991454148883
S074,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,51,0.45739204,0.6788392113301861,0.9500394011032309,3.4549939859706913,-1.3984222750348734,-4.999532035799079e-16,-0.027820688093186694,0.9999992666216104
S076,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,52,0.36827922,0.37617516081147945,0.9500870322019147,4.0,-1.3496286516472806,-7.9638818781662e-05,0.01176120702962809,0.9996763123552017
S077,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,53,0.49689752,0.7921782178217822,0.95,3.498976802472671,-1.7163747097402817,-3.761832760381929e-16,-0.03824765202467359,0.9999991953891524
S078,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,54,0.42399985,0.4184239733629301,0.9499274310595065,3.646866422688465,-1.8350604235936916,9.237790790180685e-16,0.06137607932266864,0.9999990710356566
S079,76d77bb2ac662165c22094594130634a8a4f5828,1743186910,55,0.44669825,0.6190240522617044,0.9500226142017186,3.6120674159130846,-1.58135822000156,1.5344782191220634e-15,-0.005786225871410576,0.9999992091045792
